Date,Close,High,Low,Open,Volume
2021-04-27,2716.436767578125,2719.992851877007,2691.284575285735,2693.886526212534,1471417
2021-04-28,2709.584716796875,2732.915455888313,2699.0900979766516,2732.00473082585,1639037
2021-04-29,2701.90966796875,2738.4238035533263,2693.4533260178005,2728.232827356028,1621395
2021-04-30,2632.87060546875,2716.480086208157,2619.297179947084,2687.815218760269,3072305
2021-05-03,2634.04150390625,2649.6532085721415,2605.4200453521157,2623.546884404149,1545831
2021-05-04,2645.099853515625,2680.009360558499,2632.3069285744477,2656.418381999483,1990777
2021-05-05,2684.95263671875,2688.161666602572,2647.3977760717694,2662.6626367992335,1939289
2021-05-06,2698.61328125,2718.171320818496,2666.132303827714,2693.452787747875,1791671
2021-05-07,2717.21728515625,2740.5916471927385,2698.9170239049954,2717.3041015532767,1912540
2021-05-10,2728.1455078125,2744.364292675277,2710.365510066464,2728.5357580964887,2137153
2021-05-11,2708.283447265625,2713.053689529801,2681.0061652844815,2710.3649228274526,2415625
2021-05-12,2677.927978515625,2706.0289638256604,2663.1835899306775,2706.0289638256604,1978558
2021-05-14,2646.617919921875,2687.3818203761853,2636.643774066033,2687.3818203761853,2043935
2021-05-17,2662.446533203125,2667.1733688098307,2633.1745825571097,2649.6536066244958,2890462
2021-05-18,2678.968505859375,2709.4980186496305,2669.6014409102313,2688.682412872553,2098538
2021-05-19,2673.07080078125,2704.2942105243146,2660.1478631142904,2674.8054346558647,1986041
2021-05-20,2653.989501953125,2678.968269026844,2647.137783689476,2660.14753615003,2329027
2021-05-21,2671.76953125,2678.4478285826176,2649.7397681664884,2654.8568528343612,1685566
2021-05-24,2672.63720703125,2693.019155551527,2664.397695927308,2672.63720703125,1652260
2021-05-25,2714.036376953125,2726.4561002580645,2686.233713053899,2694.8620672893585,1841613
2021-05-26,2752.820556640625,2758.4856931352156,2705.1462966966087,2719.2655174034353,1923753
2021-05-27,2771.558837890625,2804.460204598289,2755.696499676918,2755.8271484711445,5959785
2021-05-28,2739.834228515625,2787.246974997099,2732.9051610248803,2779.8387200604275,1763701
2021-05-31,2753.38720703125,2763.1488440041617,2726.761233587742,2745.4125224364557,1652799
2021-06-01,2748.027587890625,2762.8004814630044,2729.7248351644266,2761.624003600477,1377441
2021-06-02,2727.50146484375,2753.6482462980025,2714.907474333229,2746.1529632842817,2240078
2021-06-03,2737.785888671875,2749.3776709242543,2721.5747991720896,2749.3776709242543,1281706
2021-06-04,2739.965087890625,2751.382602077848,2723.623347803802,2726.238026217694,1836060
2021-06-07,2774.3486328125,2780.6674402692815,2731.1194018814945,2741.055096769255,2559821
